owner_class,extends,edition,creator,property,validators,accepted_values,supports_inherit,is_responsive,reserved_attributes,file
WysiwygVariableNodeMResourceData,NodeMResourceDataAbstract,free,createDataSimple,format,ValidateAllowUndefined|ValidatorAcceptedValues|ValidatorArray|Validators,bold|italic,true,,,Mosaic/NodeTypes/Wysiwyg/WysiwygVariable/WysiwygVariableNodeMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,youtubeUrl,ValidateAllowUndefined|ValidatorDynamicCodeObject|ValidatorSanitizeEmptyString|ValidatorYouTubeUrl|Validators,,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,autoplay,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,muted,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,controls,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,playsinline,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,privacy,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,lazyLoad,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,startTime,ValidateAllowUndefined|ValidatorTimeLength|Validators,,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,suggestedVideos,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
YouTubeElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,threshold,ValidateAllowUndefined|ValidatorInteger|ValidatorIntegerAsString|Validators,,true,,data-autoplay|data-mute|data-playsinline,Mosaic/NodeTypes/YouTube/YouTubeElementMResourceData.php
