property,probed_on,sent,status,evidence
mode,list-item,"""separator""",NO_EFFECT,"<li id=""np-037"" class=""M_EL27 M_EL_ListItem"">"
mode,loop-item,"""separator""",NO_EFFECT,"<div id=""np-038"" class=""M_EL28 M_EL_LoopItem M_Interaction_Jail"">"
multiple,fileupload-input,371337,NO_EFFECT,"<input id=""np-072"" class=""M_EL51 M_EL_FileUpload"" accept="".jpg, .png, .jpeg, .avif"" multiple type=""file"">"
multiple,select-input,371337,NO_EFFECT,"<select id=""np-101"" class=""M_EL66 M_EL_Select"" multiple size=""1"">"
muted,video,"""1""",APPLIED,"<video id=""np-144"" class=""M_EL86 M_EL_Video"" muted=""1"" controls=""1"" preload=""metadata"">"
muted,vimeo,"""1""",APPLIED,"<mosaic-vimeo id=""np-155"" class=""M_EL95 M_EL_Vimeo"" data-autoplay=""0"" data-mute=""1"" data-playsinline=""0"">"
muted,youtube,"""1""",APPLIED,"<mosaic-youtube id=""np-173"" class=""M_EL105 M_EL_YouTube"" data-autoplay=""0"" data-mute=""1"" data-playsinline=""0"">"
name,div,"""mprobe37""",EDITOR_ONLY,"<div id=""np-011"" class=""M_EL22 M_EL_Div"">"
nameAttribute,,,SKIPPED,
nameAttribute,,,SKIPPED,
nameAttribute,,,SKIPPED,
nameAttribute,,,SKIPPED,
nameAttribute,,,SKIPPED,
nameAttribute,,,SKIPPED,
openMode,,,NO_HOST,
openOn,,,NO_HOST,
openedByDefault,,,NO_HOST,
override,,,SKIPPED,
pagesAfter,,,NO_HOST,
pagesBefore,,,NO_HOST,
pagesEnd,,,NO_HOST,
pagesStart,,,NO_HOST,
placeholderText,text-input,"""mprobe37""",APPLIED,"<input id=""np-085"" class=""M_EL58 M_EL_InputText"" placeholder=""mprobe37"" type=""text"">"
placeholderText,textarea-input,"""mprobe37""",APPLIED,"<textarea id=""np-107"" class=""M_EL70 M_EL_TextArea"" placeholder=""mprobe37"">"
playsinline,video,"""1""",APPLIED,"<video id=""np-147"" class=""M_EL89 M_EL_Video"" controls=""1"" playsinline=""1"" preload=""metadata"">"
playsinline,vimeo,"""1""",APPLIED,"<mosaic-vimeo id=""np-157"" class=""M_EL97 M_EL_Vimeo"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""1"">"
playsinline,youtube,"""1""",APPLIED,"<mosaic-youtube id=""np-175"" class=""M_EL107 M_EL_YouTube"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""1"">"
positionX,,,SKIPPED,
positionY,,,SKIPPED,
poster,,,SKIPPED,
preload,video,"""none""",APPLIED,"<video id=""np-150"" class=""M_EL92 M_EL_Video"" controls=""1"" preload=""none"">"
privacy,vimeo,"""1""",NO_EFFECT,"<mosaic-vimeo id=""np-158"" class=""M_EL98 M_EL_Vimeo"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""0"">"
privacy,youtube,"""1""",NO_EFFECT,"<mosaic-youtube id=""np-176"" class=""M_EL108 M_EL_YouTube"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""0"">"
processShortcodes,code,"""1""",NO_EFFECT,"<div id=""np-060"" class=""M_EL41 M_EL_Code"">"
query,,,NO_HOST,
readonly,text-input,371337,NO_EFFECT,"<input id=""np-083"" class=""M_EL56 M_EL_InputText"" type=""text"">"
rel,button,"[""mprobe37""]",APPLIED,"<a id=""np-008"" class=""M_EL20 M_EL_Button"" href=""https://example.com/mprobe37"" rel=""mprobe37"">"
rel,dropdown-toggle,"[""mprobe37""]",APPLIED,"<a id=""np-047"" class=""M_EL30 M_EL_DropdownToggle"" href=""https://example.com/mprobe37"" rel=""mprobe37"" aria-hasp"
rel,menu-link,"[""mprobe37""]",APPLIED,"<a id=""np-051"" class=""M_EL35 M_EL_MenuLink"" href=""https://example.com/mprobe37"" rel=""mprobe37"">"
rel,wysiwyg-link,"[""mprobe37""]",APPLIED,"<a id=""np-166"" class=""M_EL103 M_EL_WysiwygLink"" href=""https://example.com/mprobe37"" rel=""mprobe37"">"
requireOneOpen,,,NO_HOST,
required,,,NO_HOST,
required,choice-field,371337,NO_EFFECT,"<fieldset id=""np-067"" class=""M_EL42 M_EL_ChoiceField"">"
required,fileupload-input,371337,NO_EFFECT,"<input id=""np-073"" class=""M_EL52 M_EL_FileUpload"" accept="".jpg, .png, .jpeg, .avif"" required type=""file"">"
required,select-input,371337,NO_EFFECT,"<select id=""np-102"" class=""M_EL67 M_EL_Select"" required size=""1"">"
required,text-input,371337,NO_EFFECT,"<input id=""np-082"" class=""M_EL55 M_EL_InputText"" required type=""text"">"
required,textarea-input,371337,NO_EFFECT,"<textarea id=""np-111"" class=""M_EL73 M_EL_TextArea"" required>"
requiredMin,choice-field,371337,NO_EFFECT,"<fieldset id=""np-068"" class=""M_EL45 M_EL_ChoiceField"">"
selected,select-option,371337,NO_EFFECT,"<option id=""np-097"" class=""M_EL64 M_EL_SelectOption"" value selected=""true"">"
shortcode,wpShortcode,"""mprobe37""",NO_EFFECT,"<div id=""np-163"" class=""M_EL101 M_EL_WPShortcode"">"
size,,,NO_HOST,
size,select-input,371337,APPLIED,"<select id=""np-103"" class=""M_EL68 M_EL_Select"" size=""371337"">"
sizes,,,NO_HOST,
sizes,,,NO_HOST,
sources,video,"[""mprobe37""]",NO_EFFECT,"<video id=""np-142"" class=""M_EL84 M_EL_Video"" controls=""1"" preload=""metadata"">"
srcset,,,NO_HOST,
srcset,,,NO_HOST,
startTime,,,SKIPPED,
startTime,,,SKIPPED,
stepActive,,,NO_HOST,
stepActive,form-multi-steps-step,true,NO_EFFECT,"<div id=""np-091"" class=""M_EL61 M_EL_Step"" onclick=""(() =>"
stepIndex,,,NO_HOST,
stepIndex,form-multi-steps-step,371337,NO_EFFECT,"<div id=""np-090"" class=""M_EL60 M_EL_Step"" onclick=""(() =>"
style,,,INSTRUMENT,this sweep locates and reads nodes THROUGH it; asserted instead by style-verification.csv (98 rows); rwd-verification.csv (576 rows)
submitType,,,SKIPPED,
suggestedVideos,youtube,"""1""",NO_EFFECT,"<mosaic-youtube id=""np-179"" class=""M_EL110 M_EL_YouTube"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""0"">"
svg,,,SKIPPED,
tagName,div,"""h4""",APPLIED,"<h4 id=""np-009"" class=""M_EL21 M_EL_Div"">"
tagName,section,"""h4""",APPLIED,"<h4 id=""np-139"" class=""M_EL82 M_EL_Section"">"
tagName,text,"""h4""",APPLIED,"<h4 id=""np-140"" class=""M_EL83 M_EL_Text M_EL_WYSIWYG"">"
target,button,"""_top""",APPLIED,"<a id=""np-007"" class=""M_EL19 M_EL_Button"" href=""https://example.com/mprobe37"" target=""_top"">"
target,dropdown-toggle,"""_top""",APPLIED,"<a id=""np-046"" class=""M_EL29 M_EL_DropdownToggle"" href=""https://example.com/mprobe37"" target=""_top"" aria-haspo"
target,menu-link,"""_top""",APPLIED,"<a id=""np-050"" class=""M_EL34 M_EL_MenuLink"" href=""https://example.com/mprobe37"" target=""_top"">"
target,wysiwyg-link,"""_top""",APPLIED,"<a id=""np-165"" class=""M_EL102 M_EL_WysiwygLink"" href=""https://example.com/mprobe37"" target=""_top"">"
text,,,NO_HOST,
text,select-option,"""mprobe37""",NO_EFFECT,"<option id=""np-096"" class=""M_EL63 M_EL_SelectOption"" value>"
theme,,,NO_HOST,
threshold,video,371337,NO_EFFECT,"<video id=""np-152"" class=""M_EL93 M_EL_Video"" controls=""1"" preload=""metadata"" data-threshold=""100"">"
threshold,vimeo,371337,NO_EFFECT,"<mosaic-vimeo id=""np-161"" class=""M_EL100 M_EL_Vimeo"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""0"" data"
threshold,youtube,371337,NO_EFFECT,"<mosaic-youtube id=""np-180"" class=""M_EL111 M_EL_YouTube"" data-autoplay=""0"" data-mute=""0"" data-playsinline=""0"" "
thumbnail,,,SKIPPED,
thumbnailAlt,,,NO_HOST,
title,,,NO_HOST,
type,,,SKIPPED,
url,,,SKIPPED,
url,,,SKIPPED,
url,,,SKIPPED,
url,,,SKIPPED,
useAsBackground,,,NO_HOST,
value,,,NO_HOST,
value,,,NO_HOST,
value,select-option,"""mprobe37""",APPLIED,"<option id=""np-095"" class=""M_EL62 M_EL_SelectOption"" value=""mprobe37"">"
video,,,SKIPPED,
vimeoUrl,,,SKIPPED,
width,,,NO_HOST,
width,video,371337,APPLIED,"<video id=""np-148"" class=""M_EL90 M_EL_Video"" controls=""1"" width=""371337"" preload=""metadata"">"
youtubeUrl,,,SKIPPED,
zoom,,,NO_HOST,
