id,name,type,selectors,parent,is_group,is_editable,is_required,ordering
6a5c0d91-8f1f-047b-a147-152bd61bcfc7,Master,,html,,False,False,False,a0
cd4e6dc8-7e4c-0eac-8366-d86f54cab5ba,External style,,html,,False,False,False,a1
5c221b34-26ab-0ccc-be0e-fd89986c79af,Context,,html,,False,False,False,a2
4617493c-a85a-0239-8edd-1080ad2108b2,Unknown element,tag,,,False,True,False,a3
f3736dce-3f24-0c49-a6eb-cbafbe435696,HTML,,html,,False,True,True,a4
b846789e-f2e7-02d2-87cf-2f2cd3a69e7c,Body,,body,,False,True,True,a5
b4c8c69a-566a-07cb-8bd8-f141c8d12105,A,,"a:where(:not(.M_EL_Button,.M_EL_Button__Link,.M_EL_MenuLink))",,False,True,True,a6
68d3854a-9f6a-033b-9405-4e169331f611,Text,,.M_EL_Text,,True,True,False,a7
95e31da0-1f58-0b03-a598-214f6244fc46,Paragraph,,p|.M_EL_Text__Paragraph,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,a8
659be41c-cf10-0ed5-ac59-ad19fbb750fc,Heading 1,,h1|.M_EL_Text__Heading1,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,a9
d1642e3d-12cc-0379-ac2a-33f5292aa0dd,Heading 2,,h2|.M_EL_Text__Heading2,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,aA
f4215e61-521c-021e-a292-c5d98d785b4e,Heading 3,,h3|.M_EL_Text__Heading3,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,aB
81e96cdb-960b-0efa-a1fd-ff819900be5d,Heading 4,,h4|.M_EL_Text__Heading4,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,aC
ed6da0b6-c772-03db-911a-0d1ae081351e,Heading 5,,h5|.M_EL_Text__Heading5,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,aD
63b3d467-1cee-076b-a08a-2d35c1411df7,Heading 6,,h6|.M_EL_Text__Heading6,68d3854a-9f6a-033b-9405-4e169331f611,False,True,True,aE
6381b2f3-7a23-05db-87b9-c808a98a292b,Inherited text,,.M_EL_Text__InheritedText,68d3854a-9f6a-033b-9405-4e169331f611,False,True,False,aF
f671bc01-2859-06da-a49e-58d6f1d6a055,Link,,.M_EL_Button__Link,,False,True,False,aG
bb9e3876-120f-0c2f-a1ec-5f23e9843911,Button,,.M_EL_Button,,False,True,False,aH
9ece09dc-d417-0dd9-b8d7-aeabad8a0f1b,Menu,,.M_EL_Menu,,True,True,False,aI
7c972b2e-bccd-06e6-9b91-39e3435e841b,Menu link,,.M_EL_MenuLink,9ece09dc-d417-0dd9-b8d7-aeabad8a0f1b,False,True,False,aJ
385cba11-b864-0e81-ad84-bc5e6e82d8ed,WP menu,,.M_EL_WPMenu,9ece09dc-d417-0dd9-b8d7-aeabad8a0f1b,True,True,False,aK
ad2337c7-0dd3-0113-808c-559834a4eb55,Menu item,,.M_EL_WPMenuItem,385cba11-b864-0e81-ad84-bc5e6e82d8ed,False,True,False,aL
8a83d2ce-a34b-0075-9471-532b7e19bd17,Dropdown,,.M_EL_DropdownNarrow,9ece09dc-d417-0dd9-b8d7-aeabad8a0f1b,True,True,False,aM
b18434de-cc91-0aac-8919-78aa00580530,Toggle,,.M_EL_DropdownToggle,8a83d2ce-a34b-0075-9471-532b7e19bd17,False,True,False,aN
50b228f1-ce49-064c-9d69-be7e58fbd85f,Wrapper,,.M_EL_DropdownWrapperNarrow,8a83d2ce-a34b-0075-9471-532b7e19bd17,False,True,False,aO
7ef9c2b8-1695-08aa-bd4f-af6116fe1398,Dropdown wide,,.M_EL_DropdownWide,8a83d2ce-a34b-0075-9471-532b7e19bd17,False,True,False,aP
4a2824e2-9212-082b-a452-ccd1a481d77f,Wrapper,,.M_EL_DropdownWrapperWide,7ef9c2b8-1695-08aa-bd4f-af6116fe1398,False,True,False,aQ
baece9ef-aac1-02ce-8157-0e3024d3ca70,Navbar,,.M_EL_Navbar,,True,True,False,aR
9ef1a7af-050d-0ad9-a167-7960d648fc8e,Menu button,,.M_EL_NavbarToggle,baece9ef-aac1-02ce-8157-0e3024d3ca70,False,True,False,aS
