type,label,class,extends,abstract,edition,alias_types,is_link,can_be_parent,default_element_class,data_class,data_extends,file
dropdown,Dropdown,DropdownElementTypeFactory,DropdownElementTypeFactoryAbstract,no,free,,,,,DropdownElementMResourceData,AbstractDropdownElementMResourceData,Mosaic/NodeTypes/Menu/Dropdown/Dropdown/DropdownElementTypeFactory.php
dropdown-wrapper,Dropdown wrapper,DropdownWrapperElementTypeFactory,DropdownWrapperElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Menu/Dropdown/Dropdown/DropdownWrapper/DropdownWrapperElementTypeFactory.php
menu,Menu,MenuElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,MenuElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Menu/MenuElementTypeFactory.php
menu-link,Menu link,MenuLinkElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,MenuLinkElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Menu/MenuLink/MenuLinkElementTypeFactory.php
wp-menu,WP Menu,WPMenuElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,WPMenuElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Menu/WPMenu/WPMenuElementTypeFactory.php
navbar,Navbar,NavbarElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,NavbarElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Navbar/NavbarElementTypeFactory.php
navbar-toggle,Mobile menu toggle,NavbarToggleElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,NavbarToggleElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Navbar/NavbarToggle/NavbarToggleElementTypeFactory.php
navigation,Navigation,NavigationElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,NavigationElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Navbar/Navigation/NavigationElementTypeFactory.php
code,Code,CodeElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,CodeElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Code/CodeElementTypeFactory.php
form-wrapper,Form,FormWrapperElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,FormWrapperElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/FormWrapperElementTypeFactory.php
form,Form,FormElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,FormElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/FormElementTypeFactory.php
checkbox-input,Checkbox input,CheckboxInputElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,true,,,CheckboxInputElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/Checkbox/CheckboxInput/CheckboxInputElementTypeFactory.php
choice-field,Choice field,ChoiceFieldElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,ChoiceFieldElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/ChoiceFieldElementTypeFactory.php
choice-content,Content,ChoiceContentElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,ChoiceContentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/Content/ChoiceContentElementTypeFactory.php
choice-legend,Legend,ChoiceLegendElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,true,,,ChoiceLegendElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/Legend/ChoiceLegendElementTypeFactory.php
choice,Choice,ChoiceElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,ChoiceElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/Choice/ChoiceElementTypeFactory.php
choice-label,Choice label,ChoiceLabelElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,true,,,ChoiceLabelElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Form/Form/MElements/Choice/ChoiceLabel/ChoiceLabelElementTypeFactory.php
