type,label,class,extends,abstract,edition,alias_types,is_link,can_be_parent,default_element_class,data_class,data_extends,file
slider-arrow-left,Slider arrow left,SliderArrowLeftElementTypeFactory,SliderArrowElementTypeFactoryAbstract,no,pro,,,,,,,Mosaic/NodeTypes/Pro/Slider/SliderArrow/SliderArrowLeft/SliderArrowLeftElementTypeFactory.php
slider-arrow-right,Slider arrow right,SliderArrowRightMElementTypeFactory,SliderArrowElementTypeFactoryAbstract,no,pro,,,,,,,Mosaic/NodeTypes/Pro/Slider/SliderArrow/SliderArrowRight/SliderArrowRightMElementTypeFactory.php
slider,Slider,SliderElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,SliderElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderElementTypeFactory.php
slider-loop-slides,Loop slides,SliderLoopSlidesElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,SliderLoopSlidesElementMResourceData,ElementMResourceLoopDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderLoopSlides/SliderLoopSlidesElementTypeFactory.php
slider-navigation-bullet,Bullet,SliderNavigationBulletElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,true,,,SliderNavigationBulletElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderNavigation/SliderNavigationBullet/SliderNavigationBulletElementTypeFactory.php
slider-navigation,Navigation,SliderNavigationElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,SliderNavigationElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderNavigation/SliderNavigationElementTypeFactory.php
slider-slide,Slide,SliderSlideElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,SliderSlideElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderSlides/SliderSlide/SliderSlideElementTypeFactory.php
slider-slides,Slides,SliderSlidesElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,SliderSlidesElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Slider/SliderSlides/SliderSlidesElementTypeFactory.php
tabs-loop-tab-panes,Tabs loop tab panes,TabLoopTabPanesElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,TabLoopTabPanesElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsContent/LoopTabPanes/TabLoopTabPanesElementTypeFactory.php
tabs-tab-pane,Tabs tab pane,TabPaneElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,TabPaneElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsContent/TabPane/TabPaneElementTypeFactory.php
tabs-content,Tabs content,TabsContentElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,TabsContentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsContent/TabsContentElementTypeFactory.php
tabs,Tabs,TabsElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,TabsElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsElementTypeFactory.php
tabs-loop-tabs,Loop tabs,TabLoopTabsElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,TabLoopTabsElementMResourceData,ElementMResourceLoopDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/LoopTabs/TabLoopTabsElementTypeFactory.php
tabs-tab,Tab,TabElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,true,,TabElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/Tab/TabElementTypeFactory.php
tabs-menu,Tabs menu,TabsMenuElementTypeFactory,ElementTypeFactoryAbstract,no,pro,,,,,TabsMenuElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/TabsMenuElementTypeFactory.php
component-root,Component root element,ComponentRootElementTypeFactory,RootElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Root/Component/ComponentRootElementTypeFactory.php
master-root,Master root element,MasterRootElementTypeFactory,RootElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Root/Master/MasterRootElementTypeFactory.php
styleguide-root,External style root element,StyleGuideRootElementTypeFactory,RootElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Root/StyleGuide/StyleGuideRootElementTypeFactory.php
styleguide-a,,SGAElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGAElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGA/SGAElementTypeFactory.php
styleguide-entry-content-button,Entry button,SGEntryContentButtonElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,SGEntryContentButtonElementVariationsConst::FillButtonElementClassID,SGEntryContentButtonElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentButton/SGEntryContentButtonElementTypeFactory.php
styleguide-entry-content-code,Entry code,SGEntryContentCodeElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentCodeElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentCode/SGEntryContentCodeElementTypeFactory.php
styleguide-entry-content,Post content,SGEntryContentElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,SGEntryContentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentElementTypeFactory.php
styleguide-entry-content-image-caption,Image caption,SGEntryContentImageCaptionElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentImageCaptionElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageCaption/SGEntryContentImageCaptionElementTypeFactory.php
styleguide-entry-content-image,Entry content image,SGEntryContentImageElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentImageElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageElementTypeFactory.php
styleguide-entry-content-image-img,Image,SGEntryContentImageImgElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentImageImgElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageImg/SGEntryContentImageImgElementTypeFactory.php
styleguide-entry-content-list,Entry content list,SGEntryContentListElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,SGEntryContentListElementVariationsConst::UnorderedListElementClassID,SGEntryContentListElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentList/SGEntryContentListElementTypeFactory.php
styleguide-entry-content-list-item,Entry content list item,SGEntryContentListItemElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentListItemElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentList/SGEntryContentListItem/SGEntryContentListItemElementTypeFactory.php
styleguide-entry-content-preformatted,Entry preformatted,SGEntryContentPreformattedElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentPreformattedElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPreformatted/SGEntryContentPreformattedElementTypeFactory.php
styleguide-entry-content-pullquote-cite,Entry content pullquote cite,SGEntryContentPullQuoteCiteElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentPullQuoteCiteElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteCite/SGEntryContentPullQuoteCiteElementTypeFactory.php
styleguide-entry-content-pullquote,Entry content pullquote,SGEntryContentPullQuoteElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentPullQuoteElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteElementTypeFactory.php
styleguide-entry-content-pullquote-paragraph,Entry content pullquote paragraph,SGEntryContentPullQuoteParagraphElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentPullQuoteParagraphElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteParagraph/SGEntryContentPullQuoteParagraphElementTypeFactory.php
styleguide-entry-content-quote-cite,Entry content quote cite,SGEntryContentQuoteCiteElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentQuoteCiteElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentQuote/SGEntryContentQuoteCite/SGEntryContentQuoteCiteElementTypeFactory.php
styleguide-entry-content-text-quote,Entry content quote,SGEntryContentQuoteElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentQuoteElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentQuote/SGEntryContentQuoteElementTypeFactory.php
styleguide-entry-content-separator,Entry separator,SGEntryContentSeparatorElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,SGEntryContentSeparatorElementVariationsConst::DefaultSeparatorElementClassID,SGEntryContentSeparatorElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentSeparator/SGEntryContentSeparatorElementTypeFactory.php
